iter	Passed	Remaining
159	440	2313
160	442	2305
161	444	2297
162	445	2288
163	447	2279
164	448	2269
165	450	2261
166	451	2253
167	452	2240
168	453	2231
169	455	2222
170	457	2216
171	458	2209
172	460	2200
173	461	2192
174	463	2184
175	465	2177
176	466	2169
177	468	2161
178	469	2153
179	471	2146
180	473	2142
181	474	2134
182	476	2126
183	477	2119
184	479	2113
185	481	2106
186	482	2098
187	484	2090
188	485	2084
189	487	2077
190	488	2070
191	490	2063
192	491	2056
193	493	2050
194	494	2042
195	496	2035
196	497	2028
197	499	2021
198	500	2015
199	502	2010
200	504	2003
201	505	1996
202	507	1991
203	508	1985
204	510	1978
205	511	1972
206	513	1966
207	514	1960
208	516	1954
209	518	1949
210	519	1942
211	521	1937
212	522	1931
213	524	1925
214	525	1918
215	527	1913
216	528	1907
217	530	1902
218	531	1896
219	533	1892
220	535	1886
221	536	1880
222	538	1874
223	539	1869
224	541	1863
225	542	1858
226	544	1853
227	545	1847
228	547	1843
229	549	1840
230	551	1834
231	552	1829
232	554	1823
233	555	1818
234	557	1813
235	558	1808
236	560	1803
237	561	1799
238	564	1796
239	565	1791
240	567	1786
241	568	1781
242	570	1776
243	571	1771
244	573	1766
245	574	1761
246	576	1757
247	578	1754
248	579	1749
249	581	1744
250	583	1739
251	584	1735
252	586	1730
253	587	1725
254	588	1720
255	590	1716
256	592	1712
257	594	1708
258	595	1704
259	597	1699
260	598	1695
261	600	1690
262	601	1686
263	603	1681
264	604	1677
265	606	1673
266	607	1668
267	609	1665
268	611	1661
269	613	1658
270	614	1653
271	616	1649
272	617	1645
273	619	1640
274	621	1637
275	622	1633
276	625	1632
277	628	1632
278	631	1632
279	633	1627
280	634	1623
281	636	1619
282	637	1615
283	639	1612
284	642	1611
285	646	1614
286	648	1610
287	649	1606
288	651	1602
289	652	1598
290	654	1595
291	657	1595
292	661	1597
293	663	1592
294	664	1588
295	666	1584
296	667	1580
297	671	1581
298	675	1583
299	677	1581
300	679	1577
301	680	1573
302	682	1570
303	685	1570
304	689	1570
305	692	1569
306	693	1565
307	695	1562
308	697	1558
309	698	1555
310	701	1554
311	705	1556
312	707	1553
313	709	1549
314	710	1545
315	712	1541
316	713	1537
317	717	1539
318	726	1549
319	728	1547
320	730	1544
321	733	1545
322	737	1544
323	738	1540
324	740	1537
325	741	1533
326	743	1529
327	745	1527
328	748	1526
329	752	1526
330	754	1524
331	756	1521
332	757	1517
333	759	1513
334	761	1512
335	766	1514
336	768	1511
337	769	1507
338	771	1504
339	773	1501
340	776	1500
341	778	1497
342	779	1493
343	781	1489
344	782	1485
345	784	1482
346	785	1478
347	787	1475
348	788	1471
349	791	1470
350	796	1472
351	798	1469
352	799	1465
353	801	1461
354	802	1458
355	804	1454
356	807	1454
357	811	1454
358	813	1452
359	814	1448
360	816	1445
361	817	1441
362	819	1437
363	822	1437
364	826	1437
365	829	1436
366	830	1432
367	832	1428
368	833	1425
369	835	1421
370	838	1421
371	842	1422
372	844	1420
373	846	1416
374	847	1413
375	849	1409
376	851	1407
377	854	1406
378	858	1406
379	860	1403
380	861	1399
381	863	1396
382	864	1393
383	867	1391
384	869	1389
385	873	1389
386	875	1386
387	876	1383
388	878	1379
389	880	1376
390	883	1376
391	886	1374
392	888	1372
393	890	1369
394	892	1366
395	893	1363
396	895	1359
397	899	1360
398	905	1363
399	907	1360
400	908	1357
401	910	1354
402	914	1355
403	920	1358
404	922	1355
405	924	1351
406	925	1349
407	927	1345
408	935	1351
409	937	1348
410	939	1345
411	940	1342
412	942	1339
413	946	1340
414	952	1342
415	953	1339
416	955	1335
417	957	1332
418	961	1333
419	967	1335
420	969	1332
421	970	1329
422	972	1326
423	974	1323
424	980	1326
425	982	1323
426	984	1320
427	985	1317
428	987	1314
429	991	1314
430	999	1320
431	1001	1317
432	1003	1314
433	1007	1313
434	1009	1310
435	1013	1311
436	1017	1310
437	1019	1307
438	1027	1312
439	1029	1310
440	1031	1307
441	1032	1303
442	1034	1300
443	1039	1302
444	1043	1301
445	1045	1298
446	1047	1295
447	1048	1292
448	1053	1292
449	1058	1293
450	1059	1290
451	1061	1286
